Product,First_Transaction,Last_Transaction,Total_Transactions,Active_Transactions,Days_Since_Last,Days_Active,Transaction_Frequency,ClosingBalance,AgeNumeric
AD00120,2025-11-25,2025-11-25,1,1,1,1,1.0,6.0,0.5
AD04155,2025-11-25,2025-11-25,1,1,1,1,1.0,12.0,0.5
AD06806,2025-11-25,2025-11-25,1,1,1,1,1.0,7.0,0.5
ADDTFPU4820,2025-11-25,2025-11-25,1,1,1,1,1.0,5.0,0.5
AGPAN535K,2025-11-25,2025-11-25,1,1,1,1,1.0,40.0,0.5
AP2609256247,2025-11-25,2025-11-25,1,1,1,1,1.0,1.0,0.5
APEKCK1302,2025-11-25,2025-11-25,1,1,1,1,1.0,1.0,0.5
AUWL7172,2025-11-25,2025-11-25,1,1,1,1,1.0,6.0,0.5
AUWL7175,2025-11-25,2025-11-25,1,1,1,1,1.0,6.0,0.5
BAS203208,2025-11-25,2025-11-25,1,1,1,1,1.0,3.0,0.5
BRBIB1520AB,2025-11-25,2025-11-25,1,1,1,1,1.0,1.0,0.5
BRYL201B50,2025-11-25,2025-11-25,1,1,1,1,1.0,1.0,0.5
BRYL64315,2025-11-25,2025-11-25,1,1,1,1,1.0,3.0,0.5
BYO1021,2025-11-25,2025-11-25,1,1,1,1,1.0,10.0,0.5
CEUPCCASTDB,2025-11-25,2025-11-25,1,1,1,1,1.0,2.0,0.5
CH129,2025-11-25,2025-11-25,1,1,1,1,1.0,1.0,0.5
CH97220221,2025-11-25,2025-11-25,1,1,1,1,1.0,2.0,0.5
CHHPUB0640,2025-11-25,2025-11-25,1,1,1,1,1.0,5.0,0.5
CHKT,2025-11-25,2025-11-25,1,1,1,1,1.0,2.0,0.5
CHLUGPL14S,2025-11-25,2025-11-25,1,1,1,1,1.0,1.0,0.5
CHPPMAN040,2025-11-25,2025-11-25,1,1,1,1,1.0,5.0,0.5
CHPPSAL1010,2025-11-25,2025-11-25,1,1,1,1,1.0,15.0,0.5
CHPPUPHNA,2025-11-25,2025-11-25,1,1,1,1,1.0,10.0,0.5
CHPPWSBP0625,2025-11-25,2025-11-25,1,1,1,1,1.0,1.0,0.5
CHPPWSS1038,2025-11-25,2025-11-25,1,1,1,1,1.0,5.0,0.5
CHQSPG040040,2025-11-25,2025-11-25,1,1,1,1,1.0,3.0,0.5
CHSVBCHB0620,2025-11-25,2025-11-25,1,1,1,1,1.0,6.0,0.5
CHSVBCOS08075,2025-11-25,2025-11-25,1,1,1,1,1.0,6.0,0.5
CSSSCB1D460SAH,2025-11-25,2025-11-25,1,1,1,1,1.0,1.0,0.5
CTSRVS6205WM,2025-11-25,2025-11-25,1,1,1,1,1.0,120.0,0.5
CTVMA21423A,2025-11-25,2025-11-25,1,1,1,1,1.0,2.0,0.5
CTYG12002,2025-11-25,2025-11-25,1,1,1,1,1.0,132.0,0.5
DF8134PB12RH,2025-11-25,2025-11-25,1,1,1,1,1.0,10.0,0.5
DF8134STSTDRH,2025-11-25,2025-11-25,1,1,1,1,1.0,1.0,0.5
DFDSLK115,2025-11-25,2025-11-25,1,1,1,1,1.0,1.0,0.5
ELBF0025,2025-11-25,2025-11-25,1,1,1,1,1.0,1.0,0.5
ELG657BP,2025-11-25,2025-11-25,1,1,1,1,1.0,7.0,0.5
ELG957,2025-11-25,2025-11-25,1,1,1,1,1.0,2.0,0.5
ELLBL220VB22610,2025-11-25,2025-11-25,1,1,1,1,1.0,2.0,0.5
ELLEDBIX091,2025-11-25,2025-11-25,1,1,1,1,1.0,2.0,0.5
ELPCL5002,2025-11-25,2025-11-25,1,1,1,1,1.0,10.0,0.5
